gbstring@exacuk,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Serial Number,,,,,,,,,,,,,,,,,,,,
101,27/04/2017 03:00,19,41,5.5,,,,,,,,,,,,,,,,,,,,,
102,27/04/2017 04:00,19,41.5,5.6,,,,,,,,,,,,,,,,,,,,,
103,27/04/2017 05:00,18.5,41.5,5.2,,,,,,,,,,,,,,,,,,,,,
104,27/04/2017 06:00,18.5,41.5,5.2,,,,,,,,,,,,,,,,,,,,,
105,27/04/2017 07:00,18,41.5,4.7,,,,,,,,,,,,,,,,,,,,,
106,27/04/2017 08:00,18.5,42,5.4,,,,,,,,,,,,,,,,,,,,,
107,27/04/2017 09:00,19.5,41.5,6.1,,,,,,,,,,,,,,,,,,,,,
108,27/04/2017 10:00,17,47.5,5.8,,,,,,,,,,,,,,,,,,,,,
109,27/04/2017 11:00,24.5,46.5,12.3,,,,,,,,,,,,,,,,,,,,,
110,27/04/2017 12:00,23,34,6.3,,,,,,,,,,,,,,,,,,,,,
111,27/04/2017 13:00,24,34.5,7.4,,,,,,,,,,,,,,,,,,,,,
112,27/04/2017 14:00,22,35.5,6.1,,,,,,,,,,,,,,,,,,,,,
113,27/04/2017 15:00,22.5,39,7.9,,,,,,,,,,,,,,,,,,,,,
114,27/04/2017 16:00,24.5,44,11.5,,,,,,,,,,,,,,,,,,,,,
115,27/04/2017 17:00,24.5,42,10.8,,,,,,,,,,,,,,,,,,,,,
116,27/04/2017 18:00,24.5,41,10.4,,,,,,,,,,,,,,,,,,,,,
117,27/04/2017 19:00,20.5,36,4.9,,,,,,,,,,,,,,,,,,,,,
118,27/04/2017 20:00,20.5,46.5,8.7,,,,,,,,,,,,,,,,,,,,,
119,27/04/2017 21:00,20,50,9.3,,,,,,,,,,,,,,,,,,,,,
120,27/04/2017 22:00,19.5,52,9.4,,,,,,,,,,,,,,,,,,,,,
121,27/04/2017 23:00,19.5,53,9.7,,,,,,,,,,,,,,,,,,,,,
122,28/04/2017 00:00,19,54.5,9.6,,,,,,,,,,,,,,,,,,,,,
123,28/04/2017 01:00,19,55,9.8,,,,,,,,,,,,,,,,,,,,,
124,28/04/2017 02:00,19,55.5,9.9,,,,,,,,,,,,,,,,,,,,,
125,28/04/2017 03:00,18.5,56.5,9.7,,,,,,,,,,,,,,,,,,,,,
126,28/04/2017 04:00,18.5,57,9.8,,,,,,,,,,,,,,,,,,,,,
127,28/04/2017 05:00,18.5,57,9.8,,,,,,,,,,,,,,,,,,,,,
128,28/04/2017 06:00,18.5,57.5,10,,,,,,,,,,,,,,,,,,,,,
129,28/04/2017 07:00,18,58,9.6,,,,,,,,,,,,,,,,,,,,,
130,28/04/2017 08:00,16.5,48.5,5.6,,,,,,,,,,,,,,,,,,,,,
131,28/04/2017 09:00,20,52.5,10,,,,,,,,,,,,,,,,,,,,,
132,28/04/2017 10:00,23.5,48.5,12,,,,,,,,,,,,,,,,,,,,,
133,28/04/2017 11:00,25,47.5,13.1,,,,,,,,,,,,,,,,,,,,,
134,28/04/2017 12:00,23.5,48.5,12,,,,,,,,,,,,,,,,,,,,,
135,28/04/2017 13:00,21,44,8.3,,,,,,,,,,,,,,,,,,,,,
136,28/04/2017 14:00,21,42.5,7.8,,,,,,,,,,,,,,,,,,,,,
137,28/04/2017 15:00,24.5,48.5,12.9,,,,,,,,,,,,,,,,,,,,,
138,28/04/2017 16:00,25,41,10.8,,,,,,,,,,,,,,,,,,,,,
139,28/04/2017 17:00,22.5,46.5,10.5,,,,,,,,,,,,,,,,,,,,,
140,28/04/2017 18:00,23,40,8.7,,,,,,,,,,,,,,,,,,,,,
141,28/04/2017 19:00,22,41.5,8.3,,,,,,,,,,,,,,,,,,,,,
142,28/04/2017 20:00,21.5,42,8.1,,,,,,,,,,,,,,,,,,,,,
143,28/04/2017 21:00,21,43,8,,,,,,,,,,,,,,,,,,,,,
144,28/04/2017 22:00,20.5,43,7.5,,,,,,,,,,,,,,,,,,,,,
145,28/04/2017 23:00,20.5,43.5,7.7,,,,,,,,,,,,,,,,,,,,,
146,29/04/2017 00:00,20.5,44,7.8,,,,,,,,,,,,,,,,,,,,,
147,29/04/2017 01:00,20,43.5,7.2,,,,,,,,,,,,,,,,,,,,,
148,29/04/2017 02:00,20,43.5,7.2,,,,,,,,,,,,,,,,,,,,,
149,29/04/2017 03:00,20,44,7.4,,,,,,,,,,,,,,,,,,,,,
150,29/04/2017 04:00,20,44,7.4,,,,,,,,,,,,,,,,,,,,,
151,29/04/2017 05:00,19.5,44.5,7.1,,,,,,,,,,,,,,,,,,,,,
152,29/04/2017 06:00,19.5,44.5,7.1,,,,,,,,,,,,,,,,,,,,,
153,29/04/2017 07:00,19.5,44.5,7.1,,,,,,,,,,,,,,,,,,,,,
154,29/04/2017 08:00,19.5,44.5,7.1,,,,,,,,,,,,,,,,,,,,,
155,29/04/2017 09:00,19.5,45,7.3,,,,,,,,,,,,,,,,,,,,,
156,29/04/2017 10:00,19.5,45.5,7.4,,,,,,,,,,,,,,,,,,,,,
157,29/04/2017 11:00,19.5,45.5,7.4,,,,,,,,,,,,,,,,,,,,,
158,29/04/2017 12:00,20,45.5,7.9,,,,,,,,,,,,,,,,,,,,,
159,29/04/2017 13:00,20,45.5,7.9,,,,,,,,,,,,,,,,,,,,,
160,29/04/2017 14:00,20.5,45,8.2,,,,,,,,,,,,,,,,,,,,,
161,29/04/2017 15:00,21,46,8.9,,,,,,,,,,,,,,,,,,,,,
162,29/04/2017 16:00,23.5,44,10.6,,,,,,,,,,,,,,,,,,,,,
163,29/04/2017 17:00,30,34,12.4,,,,,,,,,,,,,,,,,,,,,
164,29/04/2017 18:00,28,35,11.1,,,,,,,,,,,,,,,,,,,,,
165,29/04/2017 19:00,25,38.5,9.9,,,,,,,,,,,,,,,,,,,,,
166,29/04/2017 20:00,23,41.5,9.2,,,,,,,,,,,,,,,,,,,,,
167,29/04/2017 21:00,22,43,8.9,,,,,,,,,,,,,,,,,,,,,
168,29/04/2017 22:00,21.5,44,8.7,,,,,,,,,,,,,,,,,,,,,
169,29/04/2017 23:00,21,45,8.6,,,,,,,,,,,,,,,,,,,,,
170,30/04/2017 00:00,21,45.5,8.8,,,,,,,,,,,,,,,,,,,,,
171,30/04/2017 01:00,20.5,46,8.5,,,,,,,,,,,,,,,,,,,,,
172,30/04/2017 02:00,20.5,46,8.5,,,,,,,,,,,,,,,,,,,,,
173,30/04/2017 03:00,20.5,46.5,8.7,,,,,,,,,,,,,,,,,,,,,
174,30/04/2017 04:00,20,46.5,8.2,,,,,,,,,,,,,,,,,,,,,
175,30/04/2017 05:00,20,46.5,8.2,,,,,,,,,,,,,,,,,,,,,
176,30/04/2017 06:00,20,47,8.4,,,,,,,,,,,,,,,,,,,,,
177,30/04/2017 07:00,20,47,8.4,,,,,,,,,,,,,,,,,,,,,
178,30/04/2017 08:00,20,47.5,8.5,,,,,,,,,,,,,,,,,,,,,
179,30/04/2017 09:00,20,48,8.7,,,,,,,,,,,,,,,,,,,,,
180,30/04/2017 10:00,20,48,8.7,,,,,,,,,,,,,,,,,,,,,
181,30/04/2017 11:00,20,49,9,,,,,,,,,,,,,,,,,,,,,
182,30/04/2017 12:00,20,49,9,,,,,,,,,,,,,,,,,,,,,
183,30/04/2017 13:00,19.5,50,8.8,,,,,,,,,,,,,,,,,,,,,
184,30/04/2017 14:00,19.5,50,8.8,,,,,,,,,,,,,,,,,,,,,
185,30/04/2017 15:00,19.5,50.5,9,,,,,,,,,,,,,,,,,,,,,
186,30/04/2017 16:00,20,51,9.6,,,,,,,,,,,,,,,,,,,,,
187,30/04/2017 17:00,19.5,51,9.1,,,,,,,,,,,,,,,,,,,,,
188,30/04/2017 18:00,19.5,51,9.1,,,,,,,,,,,,,,,,,,,,,
189,30/04/2017 19:00,19.5,51,9.1,,,,,,,,,,,,,,,,,,,,,
190,30/04/2017 20:00,19.5,51,9.1,,,,,,,,,,,,,,,,,,,,,
191,30/04/2017 21:00,19,51.5,8.8,,,,,,,,,,,,,,,,,,,,,
192,30/04/2017 22:00,19,51.5,8.8,,,,,,,,,,,,,,,,,,,,,
193,30/04/2017 23:00,19,52,8.9,,,,,,,,,,,,,,,,,,,,,
194,01/05/2017 00:00,18.5,51.5,8.3,,,,,,,,,,,,,,,,,,,,,
195,01/05/2017 01:00,18.5,51.5,8.3,,,,,,,,,,,,,,,,,,,,,
196,01/05/2017 02:00,18.5,51.5,8.3,,,,,,,,,,,,,,,,,,,,,
197,01/05/2017 03:00,18.5,52,8.5,,,,,,,,,,,,,,,,,,,,,
198,01/05/2017 04:00,18,52,8,,,,,,,,,,,,,,,,,,,,,
199,01/05/2017 05:00,18,52,8,,,,,,,,,,,,,,,,,,,,,
200,01/05/2017 06:00,18,52.5,8.1,,,,,,,,,,,,,,,,,,,,,
201,01/05/2017 07:00,18,52.5,8.1,,,,,,,,,,,,,,,,,,,,,
202,01/05/2017 08:00,18,52.5,8.1,,,,,,,,,,,,,,,,,,,,,
203,01/05/2017 09:00,18,53,8.3,,,,,,,,,,,,,,,,,,,,,
204,01/05/2017 10:00,18,53.5,8.4,,,,,,,,,,,,,,,,,,,,,
205,01/05/2017 11:00,18,53.5,8.4,,,,,,,,,,,,,,,,,,,,,
206,01/05/2017 12:00,18,54,8.6,,,,,,,,,,,,,,,,,,,,,
207,01/05/2017 13:00,18.5,53.5,8.9,,,,,,,,,,,,,,,,,,,,,
208,01/05/2017 14:00,19,54,9.5,,,,,,,,,,,,,,,,,,,,,
209,01/05/2017 15:00,19.5,53.5,9.8,,,,,,,,,,,,,,,,,,,,,
210,01/05/2017 16:00,21,53,11.1,,,,,,,,,,,,,,,,,,,,,
211,01/05/2017 17:00,27.5,42.5,13.6,,,,,,,,,,,,,,,,,,,,,
212,01/05/2017 18:00,25.5,41.5,11.5,,,,,,,,,,,,,,,,,,,,,
213,01/05/2017 19:00,24,44,11,,,,,,,,,,,,,,,,,,,,,
214,01/05/2017 20:00,22,47,10.2,,,,,,,,,,,,,,,,,,,,,
215,01/05/2017 21:00,21,48.5,9.7,,,,,,,,,,,,,,,,,,,,,
216,01/05/2017 22:00,20.5,49.5,9.6,,,,,,,,,,,,,,,,,,,,,
217,01/05/2017 23:00,20,50,9.3,,,,,,,,,,,,,,,,,,,,,
218,02/05/2017 00:00,20,50.5,9.4,,,,,,,,,,,,,,,,,,,,,
219,02/05/2017 01:00,19.5,50.5,9,,,,,,,,,,,,,,,,,,,,,
220,02/05/2017 02:00,19.5,50.5,9,,,,,,,,,,,,,,,,,,,,,
221,02/05/2017 03:00,19,51,8.6,,,,,,,,,,,,,,,,,,,,,
222,02/05/2017 04:00,19,50.5,8.5,,,,,,,,,,,,,,,,,,,,,
223,02/05/2017 05:00,19,51,8.6,,,,,,,,,,,,,,,,,,,,,
224,02/05/2017 06:00,19,50.5,8.5,,,,,,,,,,,,,,,,,,,,,
225,02/05/2017 07:00,18.5,50.5,8,,,,,,,,,,,,,,,,,,,,,
226,02/05/2017 08:00,19,51.5,8.8,,,,,,,,,,,,,,,,,,,,,
227,02/05/2017 09:00,20.5,53,10.6,,,,,,,,,,,,,,,,,,,,,
228,02/05/2017 10:00,22,52,11.7,,,,,,,,,,,,,,,,,,,,,
229,02/05/2017 11:00,22.5,51,11.9,,,,,,,,,,,,,,,,,,,,,
230,02/05/2017 12:00,23,51,12.3,,,,,,,,,,,,,,,,,,,,,
231,02/05/2017 13:00,23,47,11.1,,,,,,,,,,,,,,,,,,,,,
232,02/05/2017 14:00,21,49,9.9,,,,,,,,,,,,,,,,,,,,,
233,02/05/2017 15:00,23,46,10.8,,,,,,,,,,,,,,,,,,,,,
234,02/05/2017 16:00,23.5,49.5,12.3,,,,,,,,,,,,,,,,,,,,,
235,02/05/2017 17:00,25,46.5,12.7,,,,,,,,,,,,,,,,,,,,,
236,02/05/2017 18:00,24.5,45,11.8,,,,,,,,,,,,,,,,,,,,,
237,02/05/2017 19:00,24,44,11,,,,,,,,,,,,,,,,,,,,,
238,02/05/2017 20:00,22.5,48,10.9,,,,,,,,,,,,,,,,,,,,,
239,02/05/2017 21:00,22,48.5,10.6,,,,,,,,,,,,,,,,,,,,,
240,02/05/2017 22:00,22,49,10.8,,,,,,,,,,,,,,,,,,,,,
241,02/05/2017 23:00,21.5,50,10.6,,,,,,,,,,,,,,,,,,,,,
242,03/05/2017 00:00,21,50,10.2,,,,,,,,,,,,,,,,,,,,,
243,03/05/2017 01:00,21,50.5,10.3,,,,,,,,,,,,,,,,,,,,,
244,03/05/2017 02:00,21,50.5,10.3,,,,,,,,,,,,,,,,,,,,,
245,03/05/2017 03:00,21,51,10.5,,,,,,,,,,,,,,,,,,,,,
246,03/05/2017 04:00,20.5,51,10,,,,,,,,,,,,,,,,,,,,,
247,03/05/2017 05:00,20.5,51,10,,,,,,,,,,,,,,,,,,,,,
248,03/05/2017 06:00,20,51,9.6,,,,,,,,,,,,,,,,,,,,,
249,03/05/2017 07:00,20,50.5,9.4,,,,,,,,,,,,,,,,,,,,,
250,03/05/2017 08:00,20,50.5,9.4,,,,,,,,,,,,,,,,,,,,,
251,03/05/2017 09:00,21.5,52,11.2,,,,,,,,,,,,,,,,,,,,,
252,03/05/2017 10:00,22,51.5,11.6,,,,,,,,,,,,,,,,,,,,,
253,03/05/2017 11:00,22.5,51.5,12,,,,,,,,,,,,,,,,,,,,,
254,03/05/2017 12:00,22.5,50.5,11.7,,,,,,,,,,,,,,,,,,,,,
255,03/05/2017 13:00,22,50.5,11.3,,,,,,,,,,,,,,,,,,,,,
256,03/05/2017 14:00,22,51,11.4,,,,,,,,,,,,,,,,,,,,,
257,03/05/2017 15:00,21.5,46,9.4,,,,,,,,,,,,,,,,,,,,,
258,03/05/2017 16:00,22,44,9.2,,,,,,,,,,,,,,,,,,,,,
259,03/05/2017 17:00,23,46,10.8,,,,,,,,,,,,,,,,,,,,,
260,03/05/2017 18:00,23,49.5,11.9,,,,,,,,,,,,,,,,,,,,,
261,03/05/2017 19:00,22.5,51.5,12,,,,,,,,,,,,,,,,,,,,,
262,03/05/2017 20:00,22,51.5,11.6,,,,,,,,,,,,,,,,,,,,,
263,03/05/2017 21:00,21.5,51,10.9,,,,,,,,,,,,,,,,,,,,,
264,03/05/2017 22:00,21,51,10.5,,,,,,,,,,,,,,,,,,,,,
265,03/05/2017 23:00,21,51,10.5,,,,,,,,,,,,,,,,,,,,,
266,04/05/2017 00:00,21,51,10.5,,,,,,,,,,,,,,,,,,,,,
267,04/05/2017 01:00,20.5,51,10,,,,,,,,,,,,,,,,,,,,,
